Recipient Org:Identifier,Funding Org:Identifier,Amount Awarded,Grants
GB-CHC-1076055,GB-CHC-1111600,6888.0,2
GB-CHC-1076055,GB-CHC-299963,1000.0,1
GB-CHC-1076204,360G-blf,10000.0,1
GB-CHC-1076204,GB-CHC-1000147,28000.0,2
GB-CHC-1076204,GB-CHC-1035628,133500.0,1
GB-CHC-1076204,GB-CHC-327114,40000.0,1
GB-CHC-1076206,GB-CHC-1000147,10000.0,1
GB-CHC-1076206,GB-CHC-230260,25000.0,1
GB-CHC-1076206,GB-COH-IP00525R,2678.35,1
GB-CHC-1076217,360G-blf,9890.0,1
GB-CHC-1076217,GB-CHC-230260,10000.0,1
GB-CHC-1076217,GB-COH-IP00525R,2133.49,1
GB-CHC-1076478,360G-blf,20000.0,2
GB-CHC-1076478,GB-CHC-1010656,7500.0,2
GB-CHC-1076478,GB-CHC-328524,10000.0,1
GB-CHC-1076710,360G-blf,9640.0,1
GB-CHC-1076710,GB-CHC-299963,500.0,1
GB-CHC-1076710,GB-COH-IP00525R,4271.04,1
GB-CHC-1077034,GB-CHC-1105580,50000.0,1
GB-CHC-1077034,GB-CHC-230260,15000.0,1
GB-CHC-1077034,GB-CHC-274100,25000.0,1
GB-CHC-1077116,GB-CHC-1000147,10000.0,1
GB-CHC-1077116,GB-CHC-200051,58000.0,1
GB-CHC-1077116,GB-CHC-210037,100000.0,1
GB-CHC-1077116,GB-CHC-327114,75000.0,1
GB-CHC-1077265,GB-CHC-1080418,250.0,1
GB-CHC-1077265,GB-COH-02273708,750.0,2
GB-CHC-1077265,GB-COH-04530979,300.0,1
GB-CHC-1078094,360G-blf,198734.0,1
GB-CHC-1078094,GB-CHC-1113226,5500.0,2
GB-CHC-1078094,GB-CHC-230260,15000.0,1
GB-CHC-1078094,GB-COH-IP00525R,2029.98,1
GB-CHC-1079495,360G-blf,4750.0,1
GB-CHC-1079495,GB-CHC-1151621,5000.0,1
GB-CHC-1079495,GB-LAE-OXO,9470.0,2
GB-CHC-1079944,GB-CHC-230260,2000.0,1
GB-CHC-1079944,GB-COH-IP00525R,2810.69,1
GB-CHC-1079944,GB-COH-RC000766,12000.0,1
GB-CHC-1081754,360G-blf,9749.0,1
GB-CHC-1081754,GB-CHC-1093028,35000.0,1
GB-CHC-1081754,GB-CHC-230260,50000.0,1
GB-CHC-1082450,360G-blf,332031.0,2
GB-CHC-1082450,GB-CHC-205629,142470.0,2
GB-CHC-1082450,GB-CHC-205959,10358.0,3
GB-CHC-1082450,GB-COH-03037449,5700952.0,1
GB-CHC-1082551,360G-blf,10000.0,1
GB-CHC-1082551,GB-CHC-1105580,56000.0,1
GB-CHC-1082551,GB-COH-IP00525R,2690.45,1
GB-CHC-1083995,360G-blf,483734.0,1
GB-CHC-1083995,GB-COH-04530979,7047.5,2
GB-CHC-1083995,GB-COH-IP00525R,4841.57,2
GB-CHC-1084105,GB-CHC-1105580,50000.0,1
GB-CHC-1084105,GB-CHC-230260,20000.0,1
GB-CHC-1084105,GB-COH-IP00525R,2955.03,1
GB-CHC-1084622,GB-CHC-1105580,17000.0,1
GB-CHC-1084622,GB-CHC-274100,3000.0,1
GB-CHC-1084622,GB-COH-IP00525R,2476.75,1
GB-CHC-1085351,GB-CHC-1093028,35000.0,1
GB-CHC-1085351,GB-CHC-230260,20000.0,1
GB-CHC-1085351,GB-CHC-274100,10000.0,1
GB-CHC-1085351,GB-COH-IP00525R,4063.26,1
GB-CHC-1085545,360G-blf,914.0,1
GB-CHC-1085545,GB-CHC-1105580,100000.0,1
GB-CHC-1085545,GB-CHC-230260,20000.0,1
GB-CHC-1085545,GB-CHC-327114,15000.0,1
GB-CHC-1086780,GB-CHC-1080418,10000.0,1
GB-CHC-1086780,GB-CHC-299963,2000.0,1
GB-CHC-1086780,GB-COH-IP00525R,1799.21,1
GB-CHC-1088242,GB-CHC-1140372,25000.0,1
GB-CHC-1088242,GB-CHC-230260,150000.0,1
GB-CHC-1088242,GB-CHC-274100,50000.0,1
GB-CHC-1088242,GB-COH-IP00525R,3420.71,2
GB-CHC-1089634,360G-blf,9560.0,1
GB-CHC-1089634,GB-CHC-1105580,90000.0,1
GB-CHC-1089634,GB-COH-07991677,32000.0,1
GB-CHC-1090123,360G-blf,9934.0,1
GB-CHC-1090123,GB-CHC-1000147,15000.0,1
GB-CHC-1090123,GB-CHC-230260,30000.0,1
GB-CHC-1090161,360G-blf,10000.0,1
GB-CHC-1090161,GB-CHC-1143711,6050.0,1
GB-CHC-1090161,GB-CHC-230260,10000.0,1
GB-CHC-1090781,GB-CHC-1080418,500.0,1
GB-CHC-1090781,GB-CHC-1105580,100000.0,1
GB-CHC-1090781,GB-CHC-1143711,4906.0,1
GB-CHC-1090781,GB-COH-IP00525R,1990.12,1
GB-CHC-1091001,GB-CHC-1075920,45000.0,1
GB-CHC-1091001,GB-CHC-230260,10000.0,1
GB-CHC-1091001,GB-COH-IP00525R,5605.93,1
GB-CHC-1091077,GB-CHC-1035628,123840.0,1
GB-CHC-1091077,GB-CHC-1105580,100000.0,1
GB-CHC-1091077,GB-CHC-327114,75000.0,1
GB-CHC-1091201,360G-blf,95952.0,1
GB-CHC-1091201,GB-CHC-1105580,60000.0,1
GB-CHC-1091201,GB-CHC-327114,75000.0,1
GB-CHC-1091887,360G-blf,6400.0,1
GB-CHC-1091887,GB-CHC-1105580,90000.0,1
GB-CHC-1091887,GB-CHC-299963,500.0,1
GB-CHC-1092465,GB-CHC-1105580,90000.0,1
GB-CHC-1092465,GB-CHC-230260,30000.0,1
GB-CHC-1092465,GB-CHC-309671,7000.0,1
GB-CHC-1092465,GB-COH-07991677,25000.0,1
GB-CHC-1093239,360G-blf,9800.0,1
GB-CHC-1093239,GB-CHC-327114,15000.0,1
GB-CHC-1093239,GB-COH-IP00525R,4701.65,1
GB-CHC-1093355,360G-blf,9541.0,1
GB-CHC-1093355,GB-CHC-210169,4975.0,1
GB-CHC-1093355,GB-CHC-274100,9200.0,1
GB-CHC-1093691,360G-blf,10000.0,1
GB-CHC-1093691,GB-CHC-230260,40000.0,1
GB-CHC-1093691,GB-CHC-274100,100000.0,1
GB-CHC-1093691,GB-COH-IP00525R,1835.73,1
GB-CHC-1093908,360G-blf,4455.0,1
GB-CHC-1093908,GB-COH-IP00525R,1252.02,1
GB-CHC-1093908,GB-LAE-BNE,5000.0,1
GB-CHC-1094599,360G-blf,5508.0,1
GB-CHC-1094599,GB-CHC-230260,10000.0,1
GB-CHC-1094599,GB-CHC-299963,750.0,1
GB-CHC-1095540,360G-blf,238118.0,1
GB-CHC-1095540,GB-CHC-230260,5000.0,1
GB-CHC-1095540,GB-CHC-327114,13462.0,1
GB-CHC-1095915,360G-blf,9628.0,1
GB-CHC-1095915,GB-CHC-230260,10000.0,1
GB-CHC-1095915,GB-COH-IP00525R,3819.29,2
GB-CHC-1096454,GB-CHC-1010656,4500.0,1
GB-CHC-1096454,GB-CHC-1075920,4500.0,1
GB-CHC-1096454,GB-CHC-1089893,4500.0,1
GB-CHC-1096454,GB-CHC-251988,113000.0,1
GB-CHC-1096454,GB-CHC-299963,4500.0,1
GB-CHC-1096454,GB-CHC-328524,4500.0,1
GB-CHC-1096964,360G-blf,313344.0,1
GB-CHC-1096964,GB-CHC-230260,5000.0,1
GB-CHC-1096964,GB-COH-IP00525R,2858.6,1
GB-CHC-1097475,360G-blf,78492.0,1
